År;Läkemedel;Region;Kön;Ålder;Antal patienter;Patienter/1000 invånare;Antal expedieringar;Expedieringar/1000 invånare;Befolkning
2020;C02AC02 Guanfacin;Riket;Män;0­19;5883;4,74;36251;29,24;1239976
2020;C02AC02 Guanfacin;Riket;Kvinnor;0­19;2198;1,89;11993;10,31;1163754
2020;C02AC02 Guanfacin;Riket;Båda könen;0­19;8081;3,36;48244;20,07;2403730
2020;C02AC02 Guanfacin;Stockholms län;Män;0­19;1405;4,77;8896;30,23;294245
2020;C02AC02 Guanfacin;Stockholms län;Kvinnor;0­19;515;1,86;2787;10,06;276981
2020;C02AC02 Guanfacin;Stockholms län;Båda könen;0­19;1920;3,36;11683;20,45;571226
2020;C02AC02 Guanfacin;Uppsala län;Män;0­19;330;7,14;1690;36,57;46208
2020;C02AC02 Guanfacin;Uppsala län;Kvinnor;0­19;109;2,51;462;10,63;43455
2020;C02AC02 Guanfacin;Uppsala län;Båda könen;0­19;439;4,90;2152;24,00;89663
2020;C02AC02 Guanfacin;Södermanlands län;Män;0­19;156;4,20;879;23,68;37122
2020;C02AC02 Guanfacin;Södermanlands län;Kvinnor;0­19;61;1,76;322;9,30;34621
2020;C02AC02 Guanfacin;Södermanlands län;Båda könen;0­19;217;3,02;1201;16,74;71743
2020;C02AC02 Guanfacin;Östergötlands län;Män;0­19;239;4,32;1561;28,22;55312
2020;C02AC02 Guanfacin;Östergötlands län;Kvinnor;0­19;54;1,04;371;7,16;51806
2020;C02AC02 Guanfacin;Östergötlands län;Båda könen;0­19;293;2,74;1932;18,04;107118
2020;C02AC02 Guanfacin;Jönköpings län;Män;0­19;156;3,45;938;20,75;45205
2020;C02AC02 Guanfacin;Jönköpings län;Kvinnor;0­19;41;0,96;191;4,49;42581
2020;C02AC02 Guanfacin;Jönköpings län;Båda könen;0­19;197;2,24;1129;12,86;87786
2020;C02AC02 Guanfacin;Kronobergs län;Män;0­19;69;2,76;430;17,17;25040
2020;C02AC02 Guanfacin;Kronobergs län;Kvinnor;0­19;19;0,82;114;4,90;23261
2020;C02AC02 Guanfacin;Kronobergs län;Båda könen;0­19;88;1,82;544;11,26;48301
2020;C02AC02 Guanfacin;Kalmar län;Män;0­19;90;3,23;540;19,39;27853
