År;Läkemedel;Region;Kön;Ålder;Antal patienter;Patienter/1000 invånare;Expedieringar/1000 invånare;Befolkning
2023;C02AC02 Guanfacin;Riket;Män;0­19;10322;8,25;50,92;1251545
2023;C02AC02 Guanfacin;Riket;Kvinnor;0­19;4291;3,64;20,68;1180395
2023;C02AC02 Guanfacin;Riket;Båda könen;0­19;14613;6,01;36,24;2431940
2023;C02AC02 Guanfacin;Stockholms län;Män;0­19;2393;8,05;48,85;297151
2023;C02AC02 Guanfacin;Stockholms län;Kvinnor;0­19;966;3,44;19,43;280746
2023;C02AC02 Guanfacin;Stockholms län;Båda könen;0­19;3359;5,81;34,56;577897
2023;C02AC02 Guanfacin;Uppsala län;Män;0­19;502;10,54;57,01;47625
2023;C02AC02 Guanfacin;Uppsala län;Kvinnor;0­19;226;4,99;23,47;45301
2023;C02AC02 Guanfacin;Uppsala län;Båda könen;0­19;728;7,83;40,66;92926
2023;C02AC02 Guanfacin;Södermanlands län;Män;0­19;299;8,00;44,73;37379
2023;C02AC02 Guanfacin;Södermanlands län;Kvinnor;0­19;116;3,32;17,77;34952
2023;C02AC02 Guanfacin;Södermanlands län;Båda könen;0­19;415;5,74;31,70;72331
2023;C02AC02 Guanfacin;Östergötlands län;Män;0­19;416;7,46;51,50;55747
2023;C02AC02 Guanfacin;Östergötlands län;Kvinnor;0­19;154;2,94;18,59;52451
2023;C02AC02 Guanfacin;Östergötlands län;Båda könen;0­19;570;5,27;35,55;108198
2023;C02AC02 Guanfacin;Jönköpings län;Män;0­19;295;6,46;42,87;45695
2023;C02AC02 Guanfacin;Jönköpings län;Kvinnor;0­19;105;2,43;14,50;43175
2023;C02AC02 Guanfacin;Jönköpings län;Båda könen;0­19;400;4,50;29,09;88870
2023;C02AC02 Guanfacin;Kronobergs län;Män;0­19;139;5,52;29,28;25173
2023;C02AC02 Guanfacin;Kronobergs län;Kvinnor;0­19;46;1,94;10,12;23720
2023;C02AC02 Guanfacin;Kronobergs län;Båda könen;0­19;185;3,78;19,98;48893
2023;C02AC02 Guanfacin;Kalmar län;Män;0­19;171;6,15;37,16;27795
2023;C02AC02 Guanfacin;Kalmar län;Kvinnor;0­19;58;2,20;12,73;26321
2023;C02AC02 Guanfacin;Kalmar län;Båda könen;0­19;229;4,23;25,28;54116
2023;C02AC02 Guanfacin;Gotlands län;Män;0­19;97;15,07;80,65;6435
2023;C02AC02 Guanfacin;Gotlands län;Kvinnor;0­19;52;8,55;47,71;6079
2023;C02AC02 Guanfacin;Gotlands län;Båda könen;0­19;149;11,91;64,65;12514
2023;C02AC02 Guanfacin;Blekinge län;Män;0­19;224;12,28;73,54;18236
2023;C02AC02 Guanfacin;Blekinge län;Kvinnor;0­19;109;6,39;35,18;17056
2023;C02AC02 Guanfacin;Blekinge län;Båda könen;0­19;333;9,44;55,00;35292
2023;C02AC02 Guanfacin;Skåne län;Män;0­19;1097;6,38;36,15;171937
2023;C02AC02 Guanfacin;Skåne län;Kvinnor;0­19;500;3,08;16,72;162595
